                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.50374,                0.44741,                0.93055,                0.80158,                0.58444,                0.60221,                0.49997,                0.81324,                 1.0641,                 1.2432,              0.0010541,              0.0010541,              0.0010541
                     56,                0.49988,                0.45837,                0.92629,                 0.5192,                0.58267,                0.52246,                0.42263,                0.81504,                 1.1803,                 1.2961,               0.001047,               0.001047,               0.001047
                     57,                0.50151,                0.44441,                0.92834,                0.66449,                0.55886,                0.53886,                0.45035,                0.82353,                 1.1578,                 1.2961,                0.00104,                0.00104,                0.00104
                     58,                 0.4963,                0.43378,                0.93167,                0.61134,                0.56063,                0.55474,                0.42648,                0.91644,                 1.1731,                 1.3226,              0.0010329,              0.0010329,              0.0010329
                     59,                0.48673,                0.40488,                0.92015,                0.91828,                0.43415,                0.53043,                0.41317,                0.88442,                 1.1665,                 1.2826,              0.0010258,              0.0010258,              0.0010258
                     60,                0.54491,                0.44992,                0.95545,                0.88789,                0.44952,                0.51441,                0.39296,                0.85598,                 1.2639,                 1.2632,              0.0010187,              0.0010187,              0.0010187
                     61,                0.51722,                0.42867,                0.93542,                 0.8107,                0.50038,                0.50341,                0.39276,                 0.7748,                 1.2406,                 1.2385,              0.0010117,              0.0010117,              0.0010117
                     62,                0.50952,                0.43789,                0.93823,                0.91154,                0.45618,                0.51201,                0.42756,                0.72753,                 1.2122,                 1.2121,              0.0010046,              0.0010046,              0.0010046
                     63,                0.49423,                0.40927,                 0.9093,                0.89655,                 0.4824,                 0.5377,                0.42521,                0.75984,                 1.1711,                 1.2758,             0.00099751,             0.00099751,             0.00099751
                     64,                 0.5166,                0.43295,                0.93193,                0.91788,                0.47333,                0.51663,                0.41342,                 0.8474,                 1.1803,                 1.3086,             0.00099044,             0.00099044,             0.00099044
                     65,                0.52025,                0.43329,                0.93346,                0.94381,                0.47108,                0.50176,                0.40529,                0.85362,                 1.2264,                 1.2941,             0.00098337,             0.00098337,             0.00098337
                     66,                0.45839,                0.40176,                0.90304,                0.95055,                0.45803,                0.47266,                0.39417,                0.75498,                 1.1398,                 1.2371,             0.00097629,             0.00097629,             0.00097629
                     67,                0.50176,                0.43205,                0.92416,                0.56342,                0.56063,                0.59048,                0.41498,                0.65309,                 1.0588,                 1.1603,             0.00096922,             0.00096922,             0.00096922
                     68,                0.45944,                0.41228,                0.90255,                0.83739,                 0.4435,                0.51763,                0.42817,                0.76665,                  1.028,                   1.23,             0.00096215,             0.00096215,             0.00096215
                     69,                0.47529,                0.43171,                0.92001,                0.91056,                0.47333,                0.56434,                0.48349,                0.75623,                0.87297,                 1.2176,             0.00095507,             0.00095507,             0.00095507
                     70,                0.47024,                0.43118,                0.91752,                0.65653,                0.58444,                0.58208,                0.51006,                0.74592,                0.88414,                 1.2103,               0.000948,               0.000948,               0.000948
                     71,                0.44987,                0.40134,                0.91791,                0.91344,                0.58444,                0.63861,                0.54684,                0.77511,                0.95415,                 1.2453,             0.00094093,             0.00094093,             0.00094093
                     72,                0.46361,                0.42792,                0.90531,                0.92467,                0.58017,                0.63556,                0.55018,                0.79486,                 1.0563,                 1.2032,             0.00093385,             0.00093385,             0.00093385
                     73,                0.47694,                0.40948,                0.92949,                 0.8605,                0.58444,                0.63882,                  0.532,                0.77667,                 1.0259,                 1.1476,             0.00092678,             0.00092678,             0.00092678
                     74,                0.48357,                0.40741,                0.92007,                  0.866,                0.59778,                0.61014,                0.50087,                0.79398,                 1.0412,                 1.1841,              0.0009197,              0.0009197,              0.0009197
                     75,                0.44372,                0.39028,                0.91514,                 0.8359,                0.59778,                0.65132,                0.55601,                0.70185,                 1.0693,                 1.1546,             0.00091263,             0.00091263,             0.00091263
                     76,                0.44636,                0.38373,                0.90785,                0.94832,                0.44952,                0.57332,                0.48989,                0.72767,                0.96452,                 1.1635,             0.00090556,             0.00090556,             0.00090556
                     77,                 0.4785,                0.39631,                0.91392,                0.91861,                0.51818,                 0.6009,                 0.5044,                0.74237,                0.85776,                 1.1689,             0.00089848,             0.00089848,             0.00089848
